프로그램명,방송시작일,채널,요일,게시글수,댓글수,동영상조회(K),뉴스,동영상수,가구 시청자수(K),개인 시청자수(K),남성 시청자수(K),여성 시청자수(K),10대 시청자수(K),20대 시청자수(K),30대 시청자수(K),40대 시청자수(K),50대 시청자수(K),TV VOD 시청자수(K),PC 실시간(K),PC VOD(K),Mobile 실시간(K),Mobile VOD(K)
더 킹 : 영원의 군주,2020.04.17,SBS,금,"17,156","81,157","2,728","1,869",107,"1,234","1,961",834,"1,126",126,130,279,454,502,215,233,515,"1,229","2,472"
사이코지만 괜찮아,2020.06.20,tvN,토일,"16,138","77,534","8,181","4,987",295,970,"1,568",619,949,123,164,186,433,364,419,940,"1,129","5,986","6,801"
한 번 다녀왔습니다,2020.03.28,KBS2,토일,"8,382","96,408","16,836","3,690",334,"5,158","7,281","3,000","4,281",283,445,623,"1,012","1,715",305,984,"1,785","5,525","7,625"
꼰대인턴,2020.05.20,MBC,수목,"5,031","60,944","2,579","6,912",230,"1,044","1,515",679,835,66,102,150,312,471,187,376,562,"1,948","4,437"
편의점 샛별이,2020.06.19,SBS,금,"4,782","37,544","2,408","4,166",180,"1,035","1,613",799,814,90,100,238,351,407,294,233,374,"2,282","2,897"
쌍갑포차,2020.05.20,JTBC,수목,"3,976","18,275","2,536","2,505",258,612,932,380,552,64,73,98,239,300,369,378,710,"1,609","3,040"
오 마이 베이비,2020.05.13,tvN,수목,"2,829","15,494","3,287","2,404",354,281,405,142,264,15,28,75,125,90,111,233,560,"1,609","2,678"
아는 건 별로 없지만 가족입니다,2020.06.01,tvN,월화,"2,702","11,417","10,954","3,368",457,582,877,341,537,49,74,99,203,255,109,941,"1,606","4,435","6,307"
저녁 같이 드실래요,2020.05.25,MBC,월화,"2,396","12,777","3,380","3,264",566,754,"1,090",459,630,49,81,149,222,309,113,612,986,"1,675","2,075"
바람과 구름과 비,2020.05.17,TV CHOS,토일,"1,443","20,275","1,269","2,133",187,762,"1,080",501,579,28,73,90,82,380,210,187,422,"1,254","2,746"
본 어게인,2020.04.20,KBS2,월화,"1,228","8,450",748,876,97,389,537,213,324,39,32,45,101,144,32,47,283,404,776
굿캐스팅,2020.04.27,SBS,월화,"1,158","5,811","2,414","2,711",192,"1,418","2,184",969,"1,214",97,144,267,503,531,104,47,471,"1,274","2,639"
번외수사,2020.05.23,OCN,토일,"1,016","1,991",549,"1,413",385,549,903,419,484,54,58,131,323,193,174,189,381,505,"1,183"
영혼수선공,2020.05.06,KBS2,수목,873,"2,838",287,"2,400",199,405,542,222,320,19,29,64,100,133,70,234,377,919,999
야식남녀,2020.05.25,JTBC,월화,842,"2,031",543,"1,783",280,132,192,86,106,5,19,20,47,52,48,-,142,202,444
화양연화 - 삶이 꽃이 되는 순간,2020.04.25,tvN,토일,650,"3,171","1,713","1,043",143,730,"1,128",465,663,47,112,114,247,275,68,377,986,875,"1,509"
출사표,2020.07.01,KBS2,수목,262,"5,545",112,"1,250",29,-,-,-,-,-,-,-,-,-,-,-,-,-,-
우아한 친구들,2020.07.10,JTBC,금,129,292,42,617,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"우리, 사랑했을까",2020.07.08,JTBC,수목,116,900,143,416,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-
그놈이 그놈이다,2020.07.06,KBS2,월화,96,856,31,807,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
트레인,2020.07.11,OCN,토일,82,589,26,445,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-
모범형사,2020.07.06,JTBC,월화,80,180,73,408,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-
미쓰리는 알고 있다,2020.07.08,MBC,수목,64,101,4,325,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
십시일반,2020.07.22,MBC,수목,8,48,0,17,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
