프로그램명,방송시작일,채널,요일,게시글수,댓글수,동영상조회(K),뉴스,동영상수,가구 시청자수(K),개인 시청자수(K),남성 시청자수(K),여성 시청자수(K),10대 시청자수(K),20대 시청자수(K),30대 시청자수(K),40대 시청자수(K),50대 시청자수(K),TV VOD 시청자수(K),PC 실시간(K),PC VOD(K),Mobile 실시간(K),Mobile VOD(K)
사이코지만 괜찮아,2020.06.20,tvN,토일,"39,980","200,899","21,461","4,459",651,926,"1,486",581,906,115,164,187,448,314,621,"2,391","15,649","37,209","127,311"
한 번 다녀왔습니다,2020.03.28,KBS2,토일,"15,317","117,107","17,991","3,386",319,"5,511","7,858","3,302","4,556",303,474,629,"1,094","1,837",305,"10,267","5,526","26,727","31,991"
편의점 샛별이,2020.06.19,SBS,금,"10,077","43,730","4,863","3,450",293,"1,156","1,865",938,928,143,134,184,464,497,288,"5,578","9,967","19,280","48,982"
우아한 친구들,2020.07.10,JTBC,금,"2,317","7,106","1,966","3,182",252,252,351,147,203,6,21,42,57,122,246,"1,629","2,779","5,621","13,524"
"우리, 사랑했을까",2020.07.08,JTBC,수목,"2,237","13,519","2,564","2,593",273,347,545,223,322,24,52,46,142,139,151,224,"3,597","3,324","9,356"
악의 꽃,2020.07.29,tvN,수목,"2,234","10,934","1,784","2,600",108,599,921,387,534,43,58,183,225,225,101,594,564,"1,385","1,226"
모범형사,2020.07.06,JTBC,월화,"2,134","4,977",916,"3,187",267,787,"1,179",570,610,61,103,101,312,337,295,"1,122","3,500","9,438","27,775"
그놈이 그놈이다,2020.07.06,KBS2,월화,"1,928","7,759","1,560","3,429",245,662,933,381,553,41,50,94,183,201,166,"2,930","4,678","5,681","18,532"
아는 건 별로 없지만 가족입니다,2020.06.01,tvN,월화,"1,769","7,344","7,124","2,062",252,685,"1,024",409,615,42,87,99,269,299,62,"2,446","5,392","19,934","29,588"
출사표,2020.07.01,KBS2,수목,"1,392","7,112",768,"3,123",287,590,816,383,433,35,59,70,169,224,92,"3,069","2,243","7,818","15,817"
트레인,2020.07.11,OCN,토일,"1,288","4,198",181,"1,750",300,247,356,154,202,10,17,35,132,85,119,-,-,-,-
바람과 구름과 비,2020.05.17,TV CHOS,토일,965,"7,948",631,"1,216",130,893,"1,238",593,644,27,79,98,116,390,172,301,950,"4,341","24,658"
저녁 같이 드실래요,2020.05.25,MBC,월화,851,"4,760","1,711","1,525",229,613,840,338,502,36,42,127,189,220,80,"1,105","12,325","1,397","4,085"
십시일반,2020.07.22,MBC,수목,724,"1,201",130,"2,058",224,561,772,326,445,21,51,89,112,214,59,-,478,665,"4,887"
오 마이 베이비,2020.05.13,tvN,수목,636,"2,789",853,631,80,266,400,131,269,27,40,63,130,93,14,559,"1,294","1,345","3,465"
미쓰리는 알고 있다,2020.07.08,MBC,수목,562,927,153,"1,268",181,592,905,401,504,48,52,95,217,192,19,314,636,"1,524","4,332"
꼰대인턴,2020.05.20,MBC,수목,545,"2,034",50,661,16,"1,267","1,859",946,913,69,81,338,382,559,74,841,"1,798",983,"5,714"
비밀의 숲 2,2020.08.15,tvN,토일,375,"1,897",85,369,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-
시네마틱 드라마 SF8,2020.08.14,MBC,금,89,201,4,157,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-
야식남녀,2020.05.25,JTBC,월화,80,169,0,308,0,-,-,-,-,-,-,-,-,-,-,-,648,-,142
연애는 귀찮지만 외로운 건 싫어!,2020.08.11,MBC eve,월화,51,66,6,386,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
내가 가장 예뻤을 때,2020.08.19,MBC,수목,32,87,1,178,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
